lemma,part_of_speech,absolute_frequency
A,DET,34
AAT,PROPN,1
AB,PROPN,4
ABDOMEN,PROPN,3
ABDOMINAL,PROPN,3
ABDUCENT,VERB,1
ABNORMAL,NOUN,1
ABNORMAL,PROPN,2
ABNORMALITIES,PROPN,1
ABO,PROPN,5
ABPsS,PROPN,1
ABRIDGE,PROPN,1
ABSCESS,PROPN,3
ABSENCE,PROPN,1
AC,PROPN,1
ACCIDENT,PROPN,1
ACE,PROPN,24
ACG,PROPN,1
ACHALASIA,PROPN,1
ACHE,PROPN,1
ACHIEVED,PROPN,1
ACID,PROPN,7
ACIDS,PROPN,2
ACT,PROPN,1
ACTH,PROPN,21
ACTIONS,PROPN,2
ACTIVE,PROPN,1
ACUITY,PROPN,1
ACUTE,PROPN,3
ADAM,PROPN,2
ADAPTIVE,PROPN,1
ADD,PROPN,2
ADENOIDS,PROPN,1
ADH,PROPN,38
ADJUVANT,PROPN,1
ADMINISTRATION,PROPN,1
ADOLESCENCE,PROPN,1
ADP,PROPN,3
ADRENAL,PROPN,4
ADRENOCORTICOTROPHIC,NOUN,1
ADRENOGENITAL,PROPN,1
ADVERSE,PROPN,15
AFOM,PROPN,1
AFP,PROPN,12
AGA,PROPN,1
AGARIC,PROPN,1
AGC,PROPN,1
AGENESIS,PROPN,1
AGENTS,PROPN,1
AGRAPHIA,PROPN,1
AGUE,PROPN,1
AID,PROPN,1
AIDS,PROPN,75
AIH,PROPN,2
AIR,PROPN,4
AIT,PROPN,1
ALCOHOL,PROPN,5
ALEXANDER,PROPN,1
ALEXIA,PROPN,1
ALLERGIC,PROPN,1
ALLERGY,PROPN,5
ALS,PROPN,5
ALVEOLITIS,PROPN,2
ALVEOLOPLASTY,PROPN,1
AMENORRHOEA,PROPN,3
AMFEBUTAMONE,PROPN,1
AML,PROPN,4
AMOXAPINE,PROPN,1
AMOXICILLIN,PROPN,1
ANAEMIA,PROPN,5
ANAESTHESIA,PROPN,5
ANAESTHETICS,PROPN,1
ANALGESICS,PROPN,1
ANALYSIS,PROPN,2
ANCYLOSTOMIASIS,PROPN,1
ANEURYSM,PROPN,2
ANGINA,PROPN,1
ANGIOPLASTY,PROPN,1
ANHEDONIA,PROPN,1
ANHIDROSIS,PROPN,1
ANKLE,PROPN,1
ANOREXIA,PROPN,1
ANTAGONISTS,PROPN,1
ANTEPARTUM,PROPN,1
ANTIBIOTIC,PROPN,1
ANTIBIOTICS,PROPN,1
ANTIBODY,PROPN,1
ANTICHOLINERGICS,PROPN,1
ANTIOBESITY,NOUN,1
ANTIVIRAL,PROPN,1
AORTA,PROPN,1
AORTIC,PROPN,2
APGAR,PROPN,1
APHTHOUS,PROPN,1
APLASTIC,PROPN,1
APPETITE,PROPN,1
APPLE,PROPN,2
ARC,PROPN,1
ARDS,PROPN,1
ARRHYTHMIA,PROPN,2
ARTERITIS,PROPN,1
ARTERY,PROPN,1
ARTHRITIS,PROPN,3
ARTHRODESIS,PROPN,1
ARTHROSCOPY,PROPN,1
ASCARIASIS,PROPN,1
ASCARIS,PROPN,1
ASCENDING,PROPN,1
ASD,PROPN,2
ASPIRATION,PROPN,2
ASSESSMENT,PROPN,1
ASSOCIATION,PROPN,1
ASTHMA,NOUN,5
ASTHMA,PROPN,1
ATELECTASIS,PROPN,1
ATENOLOL,PROPN,1
ATG,PROPN,2
ATHEROSCLEROSIS,PROPN,1
ATOMIC,PROPN,1
ATP,PROPN,6
ATRIAL,PROPN,2
ATTACK,PROPN,5
AUREUS,PROPN,1
AUSCULTATION,PROPN,1
