word,lemma,part_of_speech,tag,absolute_frequency
A,A,PROPN,NNP,34
AAT,AAT,PROPN,NNP,1
AB,AB,PROPN,NNP,4
ABDOMEN,ABDOMEN,PROPN,NNP,3
ABDOMINAL,ABDOMINAL,PROPN,NNP,3
ABNORMAL,ABNORMAL,PROPN,NNP,2
ABNORMALITIES,ABNORMALITIES,PROPN,NNPS,1
ABO,ABO,PROPN,NNP,5
ABPsS,ABPsS,PROPN,NNP,1
ABRIDGE,ABRIDGE,PROPN,NNP,1
ABSCESS,ABSCESS,PROPN,NNP,3
ABSENCE,ABSENCE,PROPN,NNP,1
AC,AC,PROPN,NNP,1
ACCIDENT,ACCIDENT,PROPN,NNP,1
ACE,ACE,PROPN,NNP,24
ACG,ACG,PROPN,NNP,1
ACHALASIA,ACHALASIA,PROPN,NNP,1
ACHE,ACHE,PROPN,NNP,1
ACHIEVED,ACHIEVED,PROPN,NNP,1
ACID,ACID,PROPN,NNP,7
ACIDS,ACIDS,PROPN,NNP,2
ACT,ACT,PROPN,NNP,1
ACTH,ACTH,PROPN,NNP,21
ACTIONS,ACTIONS,PROPN,NNPS,2
ACTIVE,ACTIVE,PROPN,NNP,1
ACUITY,ACUITY,PROPN,NNP,1
ACUTE,ACUTE,PROPN,NNP,3
ADAM,ADAM,PROPN,NNP,2
ADAPTIVE,ADAPTIVE,PROPN,NNP,1
ADD,ADD,PROPN,NNP,2
ADENOIDS,ADENOIDS,PROPN,NNP,1
ADH,ADH,PROPN,NNP,38
ADJUVANT,ADJUVANT,PROPN,NNP,1
ADMINISTRATION,ADMINISTRATION,PROPN,NNP,1
ADOLESCENCE,ADOLESCENCE,PROPN,NNP,1
ADP,ADP,PROPN,NNP,3
ADRENAL,ADRENAL,PROPN,NNP,4
ADRENOGENITAL,ADRENOGENITAL,PROPN,NNP,1
ADVERSE,ADVERSE,PROPN,NNP,15
AFOM,AFOM,PROPN,NNP,1
AFP,AFP,PROPN,NNP,12
AGA,AGA,PROPN,NNP,1
AGARIC,AGARIC,PROPN,NNP,1
AGC,AGC,PROPN,NNP,1
AGENESIS,AGENESIS,PROPN,NNP,1
AGENTS,AGENTS,PROPN,NNPS,1
AGRAPHIA,AGRAPHIA,PROPN,NNP,1
AGUE,AGUE,PROPN,NNP,1
AID,AID,PROPN,NNP,1
AIDS,AIDS,PROPN,NNP,75
AIH,AIH,PROPN,NNP,2
AIR,AIR,PROPN,NNP,4
AIT,AIT,PROPN,NNP,1
ALCOHOL,ALCOHOL,PROPN,NNP,5
ALEXANDER,ALEXANDER,PROPN,NNP,1
ALEXIA,ALEXIA,PROPN,NNP,1
ALLERGIC,ALLERGIC,PROPN,NNP,1
ALLERGY,ALLERGY,PROPN,NNP,5
ALS,ALS,PROPN,NNP,5
ALVEOLITIS,ALVEOLITIS,PROPN,NNP,2
ALVEOLOPLASTY,ALVEOLOPLASTY,PROPN,NNP,1
AMENORRHOEA,AMENORRHOEA,PROPN,NNP,3
AMFEBUTAMONE,AMFEBUTAMONE,PROPN,NNP,1
AML,AML,PROPN,NNP,4
AMOXAPINE,AMOXAPINE,PROPN,NNP,1
AMOXICILLIN,AMOXICILLIN,PROPN,NNP,1
ANAEMIA,ANAEMIA,PROPN,NNP,5
ANAESTHESIA,ANAESTHESIA,PROPN,NNP,5
ANAESTHETICS,ANAESTHETICS,PROPN,NNP,1
ANALGESICS,ANALGESICS,PROPN,NNP,1
ANALYSIS,ANALYSIS,PROPN,NNP,2
